"country","activeDuty","paramilitary","reserves","total","pop2022"
"Jamaica","3950","0","980","4930","2827.3770"
"Papua New Guinea","3600","0","0","3600","10142.6190"
"Fiji","3500","0","6000","9500","929.7660"
"Guyana","3400","0","670","4070","808.7260"
"Montenegro","2350","10100","0","12450","627.0820"
"Liberia","2010","0","0","2010","5302.6810"
"Lesotho","2000","0","0","2000","2305.8250"
"Malta","1950","0","180","2130","533.2860"
"Suriname","1840","0","0","1840","618.0400"
"Belize","1500","150","700","2350","405.2720"
"Equatorial Guinea","1450","0","0","1450","1674.9080"
"Bahamas","1300","0","0","1300","409.9840"
"Cape Verde","1200","0","0","1200","593.1490"
"Luxembourg","900","600","0","1500","647.5990"
"Gambia","800","0","0","800","2705.9920"
"Barbados","610","0","430","1040","281.6350"
"Seychelles","420","0","0","420","107.1180"
"Antigua and Barbuda","180","0","80","260","93.7630"
"Haiti","150","50","0","200","11584.9960"
"Panama","0","26000","0","26000","4408.5810"
"Costa Rica","0","9800","0","9800","5180.8290"
"Mauritius","0","2550","0","2550","1299.4690"
"Iceland","0","250","0","250","372.8990"
